trial_id,mdim_mean,mdim_std,mdim_nan_mean,mdim_nan_std,cdim_mean,cdim_std,cdim_nan_mean,cdim_nan_std,nreward_mean,nreward_std,ureward_mean,ureward_std,post,len_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.ars_iters,config.mdim_trials,config.post,config.env_name,config.algo,config.agent_folder
25380_00000,1.560541337998226,0.14520258087652924,1.560541337998226,0.14520258087652924,5.336189767856764,0.6613076578920933,5.336189767856764,0.6613076578920933,33.376486206054686,0.1703490298796122,2111.3645081,10.776165352270969,iden,1000.0,9.567378044128418,True,,,1,54fae9305d85449fb920d7279bb3acc7,2021-09-06_13-29-44,1630960184,9.567378044128418,732,kbuc,128.111.57.123,9.567378044128418,0,1,"0_algo=ppo,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00001,1.296571903036809,0.19295989150194814,1.296571903036809,0.19295989150194814,10.881103909677343,3.0990276072009753,10.881103909677343,3.0990276072009753,2052.8876922607424,568.9737353993812,2052.8877462,568.9737558096818,iden,917.5,7.273633241653442,True,,,1,c364d0409d01479e831e19efb83a5533,2021-09-06_13-29-41,1630960181,7.273633241653442,776,kbuc,128.111.57.123,7.273633241653442,0,1,"1_algo=td3,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00002,1.267626955357793,0.2760997755021755,1.267626955357793,0.2760997755021755,10.661318655439924,2.9385906944400872,10.661318655439924,2.9385906944400872,2064.071131324768,681.33672898777,2064.0711534,681.3367372051074,iden,901.5,7.658928394317627,True,,,1,d551cdfcb95742acb3716058ed903333,2021-09-06_13-29-42,1630960182,7.658928394317627,779,kbuc,128.111.57.123,7.658928394317627,0,1,"2_algo=sac,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00003,1.3050093268052376,0.12888901867189567,1.3050093268052376,0.12888901867189567,9.415485105331836,0.8846972962137091,9.415485105331836,0.8846972962137091,2418.166795349121,755.757647401227,2418.1668406,755.7576663702482,iden,907.8,8.03664517402649,True,,,1,d7cab7e1ac174a5b8497cb42f42fe033,2021-09-06_13-29-50,1630960190,8.03664517402649,726,kbuc,128.111.57.123,8.03664517402649,0,1,"3_algo=tqc,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00004,0.6569253270623101,0.038910607088030146,0.6569253270623101,0.038910607088030146,4.435246395171145,1.1429435581322505,4.435246395171145,1.1429435581322505,38.49328496456146,11.745547176393105,905.9549499000001,276.43617966451257,iden,909.8,9.839357376098633,True,,,1,ee02c32d3d57402c803cc6bb3b96ac61,2021-09-06_13-29-52,1630960192,9.839357376098633,719,kbuc,128.111.57.123,9.839357376098633,0,1,"4_algo=a2c,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00005,1.0765738238585663,0.23895105800114605,1.0765738238585663,0.23895105800114605,10.004347551894508,0.762018740131363,10.004347551894508,0.762018740131363,1015.0786804199219,790.5226111558491,1015.0786978999998,790.5226217483847,iden,529.5,4.318987131118774,True,,,1,c9a0b0026bd5481f9cd063de0d2c3600,2021-09-06_13-29-49,1630960189,4.318987131118774,731,kbuc,128.111.57.123,4.318987131118774,0,1,"5_algo=ddpg,env_name=Walker2DBulletEnv-v0,post=None",200,10,,Walker2DBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00006,1.5739438634744058,0.09385057770380642,1.5739438634744058,0.09385057770380642,5.134704691913461,0.367145974735947,5.134704691913461,0.367145974735947,26.92579593658447,0.35950218379610144,2908.1696115999994,38.82868314038704,iden,1000.0,9.857500076293945,True,,,1,475bf0e1087a418589f6167e54848612,2021-09-06_13-30-00,1630960200,9.857500076293945,720,kbuc,128.111.57.123,9.857500076293945,0,1,"6_algo=ppo,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00007,1.3740645804998457,0.08280263574944521,1.3740645804998457,0.08280263574944521,8.956402118770518,0.5157055738013933,8.956402118770518,0.5157055738013933,2826.1247314453126,14.489160771110209,2826.1247549,14.489176611889063,iden,1000.0,8.70507025718689,True,,,1,8f7609e2e21d46d79758ba8a2fbb7fad,2021-09-06_13-30-00,1630960200,8.70507025718689,712,kbuc,128.111.57.123,8.70507025718689,0,1,"7_algo=td3,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00008,1.1592614797965808,0.0973098303478772,1.1592614797965808,0.0973098303478772,8.502493579826057,0.4869574818014534,8.502493579826057,0.4869574818014534,2793.4187744140627,8.802360133681214,2793.41887,8.802346693897018,iden,1000.0,9.430286169052124,True,,,1,b5c1c2738e684423ab19e0daf3098de5,2021-09-06_13-30-03,1630960203,9.430286169052124,729,kbuc,128.111.57.123,9.430286169052124,0,1,"8_algo=sac,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00009,1.4545015228100926,0.06529099050641686,1.4545015228100926,0.06529099050641686,5.840620706244057,0.346749462054738,5.840620706244057,0.346749462054738,3683.6040771484377,17.60268752241662,3683.6040834,17.602737922847414,iden,1000.0,9.252669334411621,True,,,1,dada8a8c285649ef8d4888941f42eada,2021-09-06_13-30-10,1630960210,9.252669334411621,722,kbuc,128.111.57.123,9.252669334411621,0,1,"9_algo=tqc,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00010,1.6437800109035112,0.10095932734348428,1.6437800109035112,0.10095932734348428,4.731258965858867,0.4409949285626581,4.731258965858867,0.4409949285626581,32.7962287902832,0.5985926413704534,2097.7295873,38.28751214686454,iden,1000.0,10.008636713027954,True,,,1,443decee7cdf448aae606a45be317c01,2021-09-06_13-30-11,1630960211,10.008636713027954,727,kbuc,128.111.57.123,10.008636713027954,0,1,"10_algo=a2c,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00011,1.2845762181957479,0.13068052577203626,1.2845762181957479,0.13068052577203626,7.332742069374886,0.7285940330720019,7.332742069374886,0.7285940330720019,2088.963000488281,95.06981363538583,2088.9629616,95.06982579226938,iden,1000.0,8.383681058883667,True,,,1,b30ecd405b894b57950101a3f50b76e1,2021-09-06_13-30-12,1630960212,8.383681058883667,723,kbuc,128.111.57.123,8.383681058883667,0,1,"11_algo=ddpg,env_name=HalfCheetahBulletEnv-v0,post=None",200,10,,HalfCheetahBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00012,1.433969780302288,0.0850894295849859,1.433969780302288,0.0850894295849859,4.877648045036368,0.8408187446006602,4.877648045036368,0.8408187446006602,29.16880359649658,3.0298378713828558,2537.0988822,263.53489783061235,iden,966.4,7.6280317306518555,True,,,1,83112d0f7f9d4fb896b48d6cf66b58c6,2021-09-06_13-30-19,1630960219,7.6280317306518555,724,kbuc,128.111.57.123,7.6280317306518555,0,1,"12_algo=ppo,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00013,1.2401174949784868,0.08636658276876714,1.2401174949784868,0.08636658276876714,6.282697851455177,0.6313780639832296,6.282697851455177,0.6313780639832296,2679.3152099609374,28.47928279770826,2679.3151927,28.479299706025188,iden,998.0,6.098330974578857,True,,,1,5d55830e9b2c40c9ac49ccbb4dbb814b,2021-09-06_13-30-18,1630960218,6.098330974578857,718,kbuc,128.111.57.123,6.098330974578857,0,1,"13_algo=td3,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00014,1.2536578107460303,0.0378051986254984,1.2536578107460303,0.0378051986254984,8.98871931460549,0.6380820125204076,8.98871931460549,0.6380820125204076,2632.9099609375,11.854681044929128,2632.9099791999997,11.854733171857289,iden,1000.0,6.960721731185913,True,,,1,d23f30686afd41dd9a1a17e81cffbaaf,2021-09-06_13-30-20,1630960220,6.960721731185913,728,kbuc,128.111.57.123,6.960721731185913,0,1,"14_algo=sac,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00015,1.3691739389610866,0.0945236819109597,1.3691739389610866,0.0945236819109597,8.87379611508318,0.4081687152323246,8.87379611508318,0.4081687152323246,2693.1984619140626,12.604204992916486,2693.1984626000003,12.604214044406735,iden,1000.0,6.870794296264648,True,,,1,f4f9a1da505646e5b77c0032c223b0e4,2021-09-06_13-30-26,1630960226,6.870794296264648,725,kbuc,128.111.57.123,6.870794296264648,0,1,"15_algo=tqc,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00016,0.9014392590205054,0.13324021729374938,0.9014392590205054,0.13324021729374938,4.791154687633072,0.8641915042865121,4.791154687633072,0.8641915042865121,13.005136203765868,5.856329521911231,768.6943315,346.1499684282395,iden,534.7,4.143260717391968,True,,,1,85d8ead7dd6741b79822541691695d00,2021-09-06_13-30-24,1630960224,4.143260717391968,730,kbuc,128.111.57.123,4.143260717391968,0,1,"16_algo=a2c,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00017,0.9524415516209406,0.14760746806346584,0.9524415516209406,0.14760746806346584,6.382530500078874,0.7888040575427127,6.382530500078874,0.7888040575427127,949.6337036132812,509.28616059302476,949.6337067999999,509.2861638614075,iden,357.1,2.2621009349823,True,,,1,d4712658dfe74ae08f57c1a3bf0cd217,2021-09-06_13-30-24,1630960224,2.2621009349823,716,kbuc,128.111.57.123,2.2621009349823,0,1,"17_algo=ddpg,env_name=HopperBulletEnv-v0,post=None",200,10,,HopperBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00018,2.4295703339758807,0.1591440669210611,2.4295703339758807,0.1591440669210611,5.393571550510674,1.05346032265791,5.393571550510674,1.05346032265791,33.93177337646485,0.6501174092165986,2883.6731441,55.24983023361105,iden,1000.0,10.750262022018433,True,,,1,4916766216494ac3b4a99cc7e4168e52,2021-09-06_13-30-35,1630960235,10.750262022018433,721,kbuc,128.111.57.123,10.750262022018433,0,1,"18_algo=ppo,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00019,1.7100290949727728,0.10179831693972625,1.7100290949727728,0.10179831693972625,9.815890286037662,0.38947070368422554,9.815890286037662,0.38947070368422554,3313.426123046875,41.51843537012295,3313.4260999,41.51840932908725,iden,1000.0,9.257941961288452,True,,,1,1648c5d6b1d8454482610327291d879a,2021-09-06_13-30-34,1630960234,9.257941961288452,717,kbuc,128.111.57.123,9.257941961288452,0,1,"19_algo=td3,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00020,1.6168453040278798,0.09430489660800173,1.6168453040278798,0.09430489660800173,12.71517515219555,0.4070397851945531,12.71517515219555,0.4070397851945531,3096.7435546875,20.892749182842543,3096.7435778999998,20.892738343037717,iden,1000.0,9.966394186019897,True,,,1,7186f71e9b944f9eaefdfc2a8041084b,2021-09-06_13-30-37,1630960237,9.966394186019897,715,kbuc,128.111.57.123,9.966394186019897,0,1,"20_algo=sac,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00021,1.5598861306393244,0.12344196985285641,1.5598861306393244,0.12344196985285641,8.937156592725014,0.5470148228343542,8.937156592725014,0.5470148228343542,3418.044580078125,171.08595988082863,3418.0445910000003,171.08601338535408,iden,1000.0,9.95983624458313,True,,,1,2eae4a4f9b524e7aaa0b2e11ef3d6f27,2021-09-06_13-30-45,1630960245,9.95983624458313,714,kbuc,128.111.57.123,9.95983624458313,0,1,"21_algo=tqc,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00022,1.2700929349707961,0.05474208765677297,1.2700929349707961,0.05474208765677297,4.0276167011014845,0.306837772439344,4.0276167011014845,0.306837772439344,35.22237129211426,0.11297248443640379,2514.5280264,8.065088707513457,iden,1000.0,11.029245376586914,True,,,1,5994d96b9b8a484785d50c6714fb66fd,2021-09-06_13-30-47,1630960247,11.029245376586914,713,kbuc,128.111.57.123,11.029245376586914,0,1,"22_algo=a2c,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00023,2.035582952035141,0.16532811546026116,2.035582952035141,0.16532811546026116,12.235806516224391,0.5436607522902259,12.235806516224391,0.5436607522902259,2394.689013671875,62.809540898078204,2394.6889638999996,62.80958480452576,iden,1000.0,9.140204668045044,True,,,1,49c63b3119034872b4df06c4588c8953,2021-09-06_13-30-47,1630960247,9.140204668045044,711,kbuc,128.111.57.123,9.140204668045044,0,1,"23_algo=ddpg,env_name=AntBulletEnv-v0,post=None",200,10,,AntBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00024,0.7513893580687185,0.061975904521674056,0.7513893580687185,0.061975904521674056,4.512856286596992,1.8155932337039042,4.512856286596992,1.8155932337039042,2.2235992193222045,1.077246986635228,17.4344898,8.446329302787392,iden,150.0,0.7990279197692871,True,,,1,706cb1716db74f59a8b6223c4dbc05cc,2021-09-06_13-30-47,1630960247,0.7990279197692871,1493,kbuc,128.111.57.123,0.7990279197692871,0,1,"24_algo=ppo,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00025,0.634532127786438,0.09040534715036747,0.634532127786438,0.09040534715036747,4.283022144643458,2.327324005142645,4.283022144643458,2.327324005142645,12.441166591644286,5.627355228222092,12.441166800000001,5.627355614935168,iden,150.0,0.608182430267334,True,,,1,117456f8082b472b93e4957d9e4ce206,2021-09-06_13-30-49,1630960249,0.608182430267334,1492,kbuc,128.111.57.123,0.608182430267334,0,1,"25_algo=td3,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00026,0.668972807311155,0.07851790460870806,0.668972807311155,0.07851790460870806,5.175843701714053,2.777553269614478,5.175843701714053,2.777553269614478,14.296784448623658,11.198745525642352,14.2967847,11.198745685831723,iden,150.0,0.7398433685302734,True,,,1,421ce049e5c84331b050d905bd1642dd,2021-09-06_13-30-49,1630960249,0.7398433685302734,1558,kbuc,128.111.57.123,0.7398433685302734,0,1,"26_algo=sac,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,sac,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00027,0.6784656991619524,0.05659233940783374,0.6784656991619524,0.05659233940783374,4.371625957742408,2.159064201987,4.371625957742408,2.159064201987,15.299589067697525,8.984379496648044,15.299589600000001,8.98437954408634,iden,150.0,0.7435874938964844,True,,,1,261969817ceb4360ba2233ae98fa9da5,2021-09-06_13-30-49,1630960249,0.7435874938964844,1557,kbuc,128.111.57.123,0.7435874938964844,0,1,"27_algo=tqc,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,tqc,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00028,0.6624629342053773,0.055923012616632746,0.6624629342053773,0.055923012616632746,5.431408102363292,1.582137153148247,5.431408102363292,1.582137153148247,1.879647645354271,1.0831702064841437,14.7577664,8.504345306301834,iden,150.0,0.8060014247894287,True,,,1,0c973d2edfc44a06a7a4ae381292ecc9,2021-09-06_13-30-51,1630960251,0.8060014247894287,1713,kbuc,128.111.57.123,0.8060014247894287,0,1,"28_algo=a2c,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,a2c,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00029,0.6141943658989917,0.06631951353072857,0.6141943658989917,0.06631951353072857,4.571497726111451,2.18039434429521,4.571497726111451,2.18039434429521,16.51461672782898,10.717868854103225,16.5146164,10.71786892242629,iden,150.0,0.621692419052124,True,,,1,cfc8dfcde5244836b86e9f8e619a9268,2021-09-06_13-30-51,1630960251,0.621692419052124,1566,kbuc,128.111.57.123,0.621692419052124,0,1,"29_algo=ddpg,env_name=ReacherBulletEnv-v0,post=None",200,10,,ReacherBulletEnv-v0,ddpg,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00030,1.7006387754458931,0.10079229778532134,1.7006387754458931,0.10079229778532134,11.088153676931217,0.6310191478975195,11.088153676931217,0.6310191478975195,32.097091102600096,0.18947845346061343,2030.4312082999998,11.986227761398807,DualRewardProd_adim_safe_stable_nolen,1000.0,5476.00491309166,True,,,1,c9b2761699cb4173acea6734d02879e7,2021-09-06_15-02-06,1630965726,5476.00491309166,1567,kbuc,128.111.57.123,5476.00491309166,0,1,"30_algo=ppo,env_name=Walker2DBulletEnv-v0,post=<seagul.mesh.DualRewardProd object at 0x7fe7adbba588>",200,10,<seagul.mesh.DualRewardProd object at 0x7fe6e7edb1d0>,Walker2DBulletEnv-v0,ppo,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
25380_00031,1.5868402260787486,0.1165601558830498,1.5868402260787486,0.1165601558830498,12.555188094846148,0.5745437342809141,12.555188094846148,0.5745437342809141,2419.3351318359373,11.53037316730954,2419.3351709999997,11.530414778637125,DualRewardProd_adim_safe_stable_nolen,999.2,4641.307075500488,True,,,1,dda7eca04cd14944b1e839fc945d1132,2021-09-06_14-48-13,1630964893,4641.307075500488,1564,kbuc,128.111.57.123,4641.307075500488,0,1,"31_algo=td3,env_name=Walker2DBulletEnv-v0,post=<seagul.mesh.DualRewardProd object at 0x7fe7adbba400>",200,10,<seagul.mesh.DualRewardProd object at 0x7fe6e7edb278>,Walker2DBulletEnv-v0,td3,/home/sgillen/work/policy_refinement/test_agent/adim_div_all/
